year,make,model,price,mileage,dealer,city,state,website
2015,Volvo,Vnl,34900.0,461060,Doggett Freightliner,Pharr, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl-2015/ee-listing-42159667
2020,Kenworth,T680,106950.0,391294,Arrow Truck Sales,French Camp, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2020/ee-listing-42183103
2016,Freightliner,Cascadi,88500.0,476567,Bonander Truck & Trailer,Turlock, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42078415
2022,Peterbilt,579,171950.0,139319,Dobbs Peterbilt,North Little Rock, AR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2022/ee-listing-42183221
2012,Kenworth,T700,49995.0,674852,Truck and Van Outlet,Miami, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t700-2012/ee-listing-42181840
2019,Peterbilt,579,75000.0,470023,Jordan Truck Sales of Texas LLC,Rhome, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42184400
2000,Freightliner,Fld132ClassicXl,45900.0,672949,TSI Truck Sales,Lake Wales, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/fld132classicxl-2000/ee-listing-42159808
2017,Kenworth,T680,64950.0,520129,Arrow Truck Sales,Conley, GA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42155573
2017,Volvo,Vnl64T780,59900.0,586025,Diamond Truck Sales Inc,Fort Worth, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t780-2017/ee-listing-42170543
2019,Freightliner,Cascadevo1,89950.0,562567,Arrow Truck Sales,Elizabeth, NJ,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadevo1-2019/ee-listing-42112298
2019,Mack,An64T,89995.0,468152,Tri-State Truck Center Inc,Richland, MS,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/an64t-2019/ee-listing-42109176
2018,International,L,57500.0,527249,Schneider,Carlisle, PA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2018/ee-listing-42171668
2018,Kenworth,T680,68900.0,518547,Diamond Truck Sales Inc,Turlock, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42170532
2018,Mack,PinnacleChu613,99950.0,168018,Dobbs Peterbilt,North Little Rock, AR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/mack/pinnaclechu613-2018/ee-listing-42183218
2020,International,L,71900.0,315811,Diamond Truck Sales Inc,Turlock, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2020/ee-listing-42170496
2017,Volvo,Vnl62T670,49900.0,608839,Bruckner Truck Sales,Dallas, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl62t670-2017/ee-listing-42164813
2017,International,Prostar+1226X4,40875.0,542163,International Used Truck Center,La Vergne, TN,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar1226x4-2017/ee-listing-42143742
2019,Freightliner,Cascadia126,69900.0,568000,Southport Truck Group,Tampa, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2019/ee-listing-42153913
2019,Kenworth,T680,91950.0,567144,Arrow Truck Sales,Fontana, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42111163
2017,Kenworth,T680,62950.0,518013,Arrow Truck Sales,Cincinnati, OH,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42176501
2016,Freightliner,Cascadi,47000.0,464554,Schneider,Carlisle, PA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42155686
2015,Volvo,Vnl,29900.0,758538,Doggett Freightliner,Pharr, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl-2015/ee-listing-42159665
2001,Freightliner,Fld132ClassicXl,44900.0,759000,TSI Truck Sales,Lake Wales, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/fld132classicxl-2001/ee-listing-42159807
2019,Volvo,Vnl760,79950.0,464514,Arrow Truck Sales,Dallas, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl760-2019/ee-listing-42165530
2020,Volvo,Vnl64T760,114950.0,405671,Bruckner Truck Sales,Fort Worth, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl760-2020/ee-listing-42164821
2019,Kenworth,T680,84950.0,498743,Arrow Truck Sales,Houston, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42074957
2014,Kenworth,T680,54900.0,615400,TSI Truck Sales,Lake Wales, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2014/ee-listing-42151493
2017,Freightliner,Cascadia125,27900.0,953000,Southport Truck Group,Tampa, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2017/ee-listing-42154190
2015,Freightliner,Cascadi,65500.0,292738,Bonander Truck & Trailer,Turlock, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2015/ee-listing-41991723
2019,Freightliner,Cascadia125,72900.0,503616,Diamond Truck Sales Inc,Fort Worth, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia125-2019/ee-listing-42170461
2020,International,L,84950.0,297000,Arrow Truck Sales,French Camp, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/lt-2020/ee-listing-42142439
2017,Freightliner,Cascadi,61500.0,439994,Schneider,Carlisle, PA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42170362
2019,Kenworth,T680,72900.0,486865,Diamond Truck Sales Inc,Turlock, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42170522
2022,Freightliner,Cascadia126,199900.0,133510,Doggett Freightliner,El Paso, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2022/ee-listing-42115338
2019,Western Star,5700Xe,66900.0,555000,Southport Truck Group,Tampa, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/western-star/5700xe-2019/ee-listing-42181933
2020,Peterbilt,389,175000.0,223679,Jordan Truck Sales of Texas LLC,Rhome, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/389-2020/ee-listing-42184399
2020,Kenworth,W990,162000.0,358390,Jordan Truck Sales of Texas LLC,Rhome, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/w990-2020/ee-listing-42158807
2019,Freightliner,Cascadia126,82000.0,540768,Jordan Truck Sales of Texas LLC,Rhome, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia126-2019/ee-listing-42184380
2015,Peterbilt,579,62900.0,476850,The Peterbilt Store,Fort Pierce, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2015/ee-listing-42181927
2017,Kenworth,T680,68500.0,492135,Doggett Freightliner,El Paso, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42164763
2017,Kenworth,T680,55000.0,649704,Doggett Freightliner,El Paso, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42164740
2019,Kenworth,T680,69900.0,508579,Diamond Truck Sales Inc,Turlock, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2019/ee-listing-42170528
2019,Freightliner,Cascadi,60000.0,690127,Schneider,West Memphis, AR,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2019/ee-listing-42165616
2016,Freightliner,Cascadi,47000.0,486935,Schneider,Obetz, OH,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42178872
2017,Freightliner,Cascadi,59950.0,665000,Arrow Truck Sales,Jacksonville, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2017/ee-listing-42154662
2016,Freightliner,Cascadi,66900.0,206000,Arrow Truck Sales,Fontana, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42171621
2015,International,Pros,24500.0,1015431,Brookside Equipment Sales Inc,Phillipston, MA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/international/prostar-2015/ee-listing-42144468
2018,Kenworth,T680,86550.0,416713,Arrow Truck Sales,Fontana, CA,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2018/ee-listing-42129092
2010,Peterbilt,387,35990.0,971231,TSI Truck Sales,Lake Wales, FL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/387-2010/ee-listing-42159809
2017,Kenworth,T680,69950.0,409115,Arrow Truck Sales,Elizabeth, NJ,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42129828
2017,Kenworth,T680,59000.0,587607,Doggett Freightliner,El Paso, TX,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42164747
