mileage,dealer,location,price,make,website
"461,060 mi",Doggett Freightliner,"Pharr, TX","$34,900",2015 Volvo VNL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl-2015/ee-listing-42159667
"391,294 mi",Arrow Truck Sales,"French Camp, CA","$106,950",2020 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2020/ee-listing-42183103
"476,567 mi",Bonander Truck & Trailer,"Turlock, CA","$88,500",2016 Freightliner Cascadia,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadia-2016/ee-listing-42078415
"139,319 mi",Dobbs Peterbilt,"North Little Rock, AR","$171,950",2022 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2022/ee-listing-42183221
"674,852 mi",Truck and Van Outlet,"Miami, FL","$49,995",2012 Kenworth T700,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t700-2012/ee-listing-42181840
"470,023 mi",Jordan Truck Sales of Texas LLC,"Rhome, TX","$75,000",2019 PETERBILT 579,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/peterbilt/579-2019/ee-listing-42184400
"672,949 mi",TSI Truck Sales,"Lake Wales, FL","$45,900",2000 FREIGHTLINER FLD132 CLASSIC XL,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/fld132classicxl-2000/ee-listing-42159808
"520,129 mi",Arrow Truck Sales,"Conley, GA","$64,950",2017 KENWORTH T680,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/kenworth/t680-2017/ee-listing-42155573
"586,025 mi",Diamond Truck Sales Inc,"Fort Worth, TX","$59,900",2017 VOLVO VNL64T780,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/volvo/vnl64t780-2017/ee-listing-42170543
"562,567 mi",Arrow Truck Sales,"Elizabeth, NJ","$89,950",2019 FREIGHTLINER CASCADEVO1,https://www.equipmentexperts.com/trucking/heavy-duty/trucktractor/freightliner/cascadevo1-2019/ee-listing-42112298
